id,cat_id,featured,rival_selling_price_mro,price,calculated_price_mru,minimum_quantity,category,category_slug,slug,description,image,buy_price_dh,merchant_contact,,,CBM_price_dh,taux_mru_dh,,casa_dakhla,,dakhla_nouakchott,
111,1,0,130,158,120,6,منتجات التجميل,cosmetics,1 شامبو تريسمي الأصلي بالبيوتين, ✨شامبو تريسمي TRESemmé  ✨ أحد أشهر أنواع الشامبوات المستخدمة للشعر و الذي يشتهر بالعديد من الفوائد و المميزات التي تجعله يتفوق على الكثير من الأنواع الأخرى,https://i.imgur.com/smg4h5O.png,30,_0662254533_borj_lyacout,,,1000,4,,200,/30kg,800,/cbm
113,1,1,141.6,115,68,6,منتجات التجميل,cosmetics,1 سكراب للجسم وٌوكالي, ✨سكراب للجسم ✨ والوجه يقضي على الشعر الي تحت الجلد ينعم البشره 🥥 ازالة خلايا الجلد الميته ✨ يحمي الجلد من الجفاف ✨ متوفر بعدة نكهات  ,https://i.imgur.com/lAQC5SO.png,17,_nour_dine_alsace_no_number_and_borj_lyacout0677236451,,,,,,100,/15kg,,
115,1,0,50,31,16,12,منتجات التجميل,cosmetics,1 مرطب شفاه , ✨مرطب شفاه عالي الجودة  ✨ يرطب الشفاه بعمق ويغذي الشفاه ويتركها ناعمة وسلسة  ✨  مما يساعد على منع الجفاف والتشقق والتلف الناجم عن الأشعة فوق البنفسجية,https://i.imgur.com/kBAp9oy.png,4,_0660631285_alsace,,,,,,,,,
116,1,0,70,95,60,12,منتجات التجميل,cosmetics,1 فرشاة شعر صديقة للبيئة, ✨ فرشاة شعر صديقة للبيئة ✨ مصنوعة من الخيزران الخشبي الطبيعي مجداف هوائي لفك تشابك الشعر وتدليك فروة الرأس للشعر الطويل المجعد والقصير السميك للنساء والأطفال والرجال,https://i.imgur.com/8zARrXc.png,15,_0695107865_borj_lyacout,,,,,,,,,
118,1,0,,35,24,12,منتجات التجميل,cosmetics,12 أظافر تركيب VV Meijiaer ," ✨ أفضل مجموعة ساحرة  ✨ من الأظافر الصناعية الكاملة  ✨ لمحبي فن الأظافر الفرنسية الأنيقة المصنوعة في كوريا لأظافر عالية الجودة ✨ الألوان متوفرة
",https://i.imgur.com/F4x9qVY.png,6,_0633109586_borj_lyacout,,,,,,,,,
119,1,0,,219,152,6,منتجات التجميل,cosmetics,1 بلسم إليجانس بلس ميراكل, ✨ يغذي ✨ ويساعد على استعادة الشعر الجاف والتالف والمعالج كيميائيًا، بما في ذلك الشعر المصبوغ,https://i.imgur.com/03SVyiN.png,38,_boutique-48_kisariat_saidi,,,,,,,,,
120,1,0,,238,200,12,منتجات التجميل,cosmetics,1 مقشر الوجه St Ives لمعالجة الرؤوس السوداء, ✨ مقشر الشاي الأخضر  ✨ المنظف للرؤوس السوداء  ✨ يقوم بتقشير البشرة لفتح المسام وتنظيفها من الرؤوس السوداء وتهدئة الالتهاب، انواع أخرى من المقشرات متوفرة,https://i.imgur.com/dSZ8Yt8.png,50,_0694109818_borj_lyacout,,,,,,,,,
121,1,0,,46.5,32,12,منتجات التجميل,cosmetics,1 قنينة وضع الصبغة للشعر,✨ قنينة وضع الصبغة أو الزيت للشعر ✨ الالوان متوفرة,https://i.imgur.com/AshySdr.png,8,_0695107865_borj_lyacout,,,,,,,,,
122,1,0,,139,100,12,منتجات التجميل,cosmetics,1 كريم الغسيل Balea بزيت اللوز,✨ كريم الغسيل اللطيف من Balea✨ بزيت اللوز الثمين 150 مل هو تركيبة عناية صديقة للبشرة بشكل خاص، خاصة لتنظيف الوجه اليومي اللطيف,https://i.imgur.com/pz18dQr.png,25,_0694109818_borj_lyacout,,,,,,,,,
123,1,0,,195,140,6,منتجات التجميل,cosmetics,1 غسول الجسم فيكتوريا سيكريت,توفر تركيبة الجل ✨ تنظيفًا فاخرًا ✨ ومنعشًا، مما يترك بشرتك مدللة ومعطرة بشكل لطيف,https://i.imgur.com/SzZYtUa.png,35,_boutique-59_kisariat_saidi,,,,,,,,,
